JD,Magnitude
2458692.6069,4.4
2458692.61944,3.8
2458692.62153,4.4
2458693.277,4.1
2458693.284,4.1
2458693.284,4.1
2458693.284,4.1
2458693.284,4.1
2458693.65069,3.7
2458693.6646,4.1
2458694.5917,3.5
2458694.63194,3.5
2458694.76319,3.6
2458695.3722,3.5
2458695.4167,3.53
2458695.88611,3.9
2458696.191,4.04
2458696.458,3.8
2458696.63889,4.0
2458696.79514,3.9
2458697.27,3.9
2458697.277,3.9
2458697.3569,3.95
2458697.79653,4.0
2458698.375,3.9
2458699.3576,3.5
2458699.375,3.53
2458699.3792,3.4
2458699.875,3.2
2458700.6056,3.5
2458701.263,3.7
2458701.263,3.7
2458701.263,3.7
2458701.366,3.9
2458702.27,3.8
2458702.277,3.8
2458702.277,3.8
2458702.277,3.8
2458702.6989,4.2
2458702.71181,4.1
2458702.76944,4.1
2458703.27,4.1
2458703.277,4.1
2458703.277,4.1
2458703.277,4.1
2458703.277,4.1
2458703.5889,4.3
2458703.84653,4.2
2458704.263,3.7
2458704.27,3.7
2458704.27,3.7
2458704.27,3.8
2458704.27,3.7
2458704.7,3.4
2458704.70556,3.6
2458704.78125,3.3
2458705.4174,3.4
2458705.4576,3.4
2458705.6,4.1
2458706.27,3.6
2458706.375,3.6
2458706.486,3.7
2458706.5833,3.7
2458707.3632,3.9
2458708.263,4.1
2458708.27,4.2
2458708.27,4.2
2458708.27,4.2
2458708.27,4.2
2458708.27,4.1
2458708.451,3.9
2458709.263,4.2
2458709.27,4.2
2458709.27,4.2
2458709.27,4.2
2458709.27,4.2
2458710.25,3.5
2458710.256,3.6
2458710.256,3.6
2458710.256,3.5
2458710.479,3.5
2458711.3326,3.5
2458712.61528,3.7
2458713.61736,4.0
2458713.8,4.2
2458714.3174,4.2
2458714.37292,4.2
2458714.62014,4.1
2458714.8,4.0
2458715.25,3.7
2458715.256,3.8
2458715.256,3.8
2458715.256,3.8
2458715.256,3.7
2458715.8,3.3
2458716.25,3.7
2458716.256,3.7
2458716.256,3.7
2458716.67917,3.7
2458717.6236,3.9
2458718.68125,4.1
2458718.71667,4.2
2458718.79167,4.4
2458719.341,4.0
2458719.375,4.2
2458719.51319,4.3
2458719.60417,4.3
2458719.8,3.5
2458719.82569,4.3
2458720.27,3.8
2458720.3382,3.9
2458720.357,3.7
2458720.375,3.8
2458720.5625,3.6
2458720.5722,4.0
2458721.25,3.5
2458721.256,3.5
2458721.256,3.5
2458721.256,3.5
2458721.325,3.5
2458721.6069,3.4
2458721.8,3.3
2458722.25,3.7
2458722.256,3.7
2458722.256,3.7
2458722.256,3.7
2458722.325,3.5
2458722.527,4.1
2458722.5563,3.6
2458723.243,4.0
2458723.25,4.0
2458723.25,4.0
2458723.25,4.0
2458723.775,4.1
2458724.236,3.9
2458724.25,3.9
2458724.256,3.9
2458724.256,3.9
2458724.256,3.9
2458724.3313,3.9
2458724.548,4.4
2458724.6528,4.0
2458724.65833,4.1
2458725.229,4.0
2458725.236,4.0
2458725.236,4.0
2458725.236,4.0
2458725.3139,4.0
2458725.5563,4.1
2458725.63611,4.0
2458726.229,3.5
2458726.236,3.6
2458726.236,3.6
2458726.236,3.6
2458726.236,3.6
2458726.329,3.7
2458726.375,3.53
2458726.5681,3.3
2458726.59236,3.5
2458726.6042,3.4
2458726.62708,3.5
2458727.222,3.7
2458727.229,3.7
2458727.229,3.6
2458727.3201,3.4
2458728.3368,3.7
2458729.284,4.1
2458729.333,4.0
2458729.566,4.3
2458729.68681,3.9
2458729.8,4.0
2458730.541,4.1
2458730.5583,3.9
2458730.79931,4.4
2458730.8,4.2
2458731.3354,3.7
2458731.5542,3.3
2458731.6,3.3
2458731.8,3.3
2458732.54861,3.7
2458732.6167,3.8
2458734.222,4.0
2458734.229,4.0
2458734.229,4.0
2458734.229,3.9
2458734.236,3.9
2458734.236,3.9
2458734.55,3.9
2458734.6028,4.3
2458735.25,4.4
2458735.2979,4.0
2458736.236,4.0
2458736.493,4.0
2458736.5938,4.0
2458736.65139,3.9
2458736.7,3.5
2458737.222,3.6
2458737.316,3.3
2458737.333,3.53
2458737.34,3.5
2458737.6486,3.5
2458738.416,3.9
2458738.5569,3.8
2458738.7,4.3
2458739.5979,3.9
2458739.6403,4.0
2458739.7,3.7
2458740.5556,4.1
2458741.55417,4.2
2458742.27,3.6
2458742.5417,3.3
2458742.8,3.2
2458743.229,3.7
2458743.5,3.8
2458743.5194,3.5
2458743.57569,3.4
2458743.5833,3.9
2458744.1,3.6
2458744.2875,4.0
2458744.34514,4.0
2458744.6326,4.0
2458744.78403,4.0
2458745.229,3.8
2458745.2917,3.8
2458745.317,3.7
2458745.4,3.8
2458745.5049,3.9
2458745.541,4.0
2458745.5424,4.0
2458745.55556,4.1
2458745.8,4.2
2458746.194,4.1
2458746.2792,4.2
2458746.2917,4.2
2458746.4993,4.0
2458746.5917,4.3
2458746.60417,4.3
2458747.201,3.9
2458747.208,3.9
2458747.208,3.9
2458747.208,3.9
2458747.222,3.9
2458747.6042,3.3
2458747.66944,3.6
2458748.201,3.6
2458748.222,3.5
2458748.229,3.5
2458748.229,3.5
2458748.2715,3.4
2458748.333,3.53
2458748.42153,3.6
2458748.472,3.8
2458748.5146,3.3
2458748.5632,3.7
2458748.7,3.3
2458749.3021,3.7
2458749.33889,4.0
2458749.388,4.0
2458749.4979,3.6
2458749.6,4.0
2458749.93889,4.0
2458750.208,4.0
2458750.215,4.0
2458750.215,4.0
2458750.222,4.0
2458750.4965,3.9
2458750.54167,4.0
2458750.60417,3.6
2458750.64514,4.1
2458751.194,4.0
2458751.201,4.0
2458751.201,4.0
2458751.215,4.0
2458751.5299,4.0
2458751.5313,4.3
2458752.35556,3.6
2458752.486,4.1
2458752.4917,3.9
2458753.5292,3.3
2458753.5507,3.5
2458754.42361,3.8
2458754.5403,3.6
2458754.5556,3.7
2458755.2938,3.9
2458755.5132,3.9
2458755.5569,4.0
2458756.5465,4.4
2458757.187,4.3
2458757.194,4.3
2458757.194,4.3
2458757.208,4.3
2458757.208,4.2
2458757.222,4.2
2458757.5444,4.3
2458757.8,4.0
2458758.2882,3.4
2458758.3097,3.4
2458758.5,4.0
2458758.5833,3.3
2458759.187,3.5
2458759.194,3.5
2458759.194,3.5
2458759.201,3.6
2458759.201,3.6
2458759.215,3.6
2458759.31181,3.4
2458759.576,3.6
2458759.6139,3.7
2458760.194,3.8
2458760.194,3.7
2458760.2889,3.8
2458760.6174,4.0
2458760.78958,4.0
2458761.275,4.0
2458761.5097,3.9
2458761.5486,4.0
2458762.4924,4.0
2458763.07847,4.0
2458763.82292,3.7
2458764.01875,3.7
2458764.2722,3.4
2458764.2799,3.4
2458764.3056,3.4
2458764.6875,3.4
2458765.04306,3.7
2458765.201,3.7
2458765.215,3.7
2458765.229,3.7
2458765.229,3.7
2458765.236,3.7
2458765.333,3.8
2458765.562,4.0
2458765.56875,3.6
2458765.57778,3.7
2458765.6,3.3
2458765.675,3.9
2458766.513,4.4
2458766.5569,4.0
2458767.201,4.1
2458767.201,4.1
2458767.208,4.0
2458769.4958,3.3
2458769.5417,3.3
2458770.194,3.7
2458770.194,3.7
2458770.222,3.7
2458770.229,3.7
2458770.229,3.7
2458770.5563,3.6
2458770.6618,4.0
2458770.7,3.7
2458771.01111,3.7
2458771.243,4.1
2458771.25,4.1
2458771.256,4.0
2458771.5,4.0
2458771.5139,4.3
2458772.04653,3.9
2458772.208,4.0
2458772.208,4.0
2458772.93542,4.0
2458773.187,4.1
2458773.201,4.0
2458773.215,4.0
2458773.32778,4.1
2458773.55,4.1
2458774.03264,4.2
2458774.166,3.7
2458774.194,3.8
2458774.194,3.7
2458774.208,3.8
2458774.229,3.7
2458774.2576,3.7
2458774.74861,3.7
2458775.04653,3.6
2458775.194,3.6
2458775.208,3.5
2458775.215,3.6
2458775.215,3.6
2458775.229,3.6
2458775.333,3.4
2458775.5,3.5
2458775.56597,3.6
2458776.173,3.8
2458776.18,3.8
2458776.187,3.8
2458776.201,3.8
2458776.3056,3.8
2458776.4722,3.8
2458777.06181,3.9
2458777.187,4.0
2458777.201,3.9
2458777.208,4.0
2458777.4951,4.0
2458777.94375,4.0
2458778.18,4.1
2458778.201,4.0
2458778.2694,4.2
2458778.4674,4.0
2458778.609,4.3
2458778.68056,3.4
2458779.333,3.8
2458779.60278,3.4
2458780.18,3.5
2458780.194,3.5
2458780.222,3.5
2458780.222,3.5
2458780.333,3.4
2458780.4736,3.3
2458780.5583,3.5
2458780.57292,3.4
2458781.166,3.7
2458781.18,3.6
2458781.187,3.7
2458781.194,3.7
2458781.4632,3.6
2458781.5514,3.8
2458782.49167,3.6
2458782.65417,4.1
2458782.99861,3.9
2458783.187,4.0
2458783.201,4.0
2458783.201,4.0
2458783.201,4.0
2458783.7,3.5
2458784.159,4.2
2458784.166,4.1
2458784.333,4.2
2458784.51597,4.1
2458784.5903,4.3
2458784.65694,4.4
2458785.2556,3.5
2458785.375,3.6
2458785.5389,3.2
2458786.25,3.4
2458786.30903,3.7
2458787.173,3.9
2458787.222,3.9
2458787.2375,3.8
2458787.244,3.7
2458787.375,3.8
2458787.451,4.1
2458788.4167,4.2
2458788.6875,4.3
2458789.30556,4.0
2458789.4632,4.0
2458789.60069,3.4
2458790.187,3.8
2458790.194,3.8
2458790.457,3.5
2458790.5271,3.3
2458790.68194,3.7
2458790.92292,3.8
2458791.2563,3.6
2458792.6,3.5
2458792.6486,4.0
2458793.6299,4.3
2458794.559,4.2
2458794.6,3.5
2458795.56181,3.8
2458796.263,3.6
2458796.5229,3.8
2458797.333,3.8
2458797.4604,3.9
2458799.67986,4.3
2458800.5139,4.3
2458802.159,3.7
2458802.333,3.53
2458802.8,3.7
2458802.84653,3.7
2458803.166,3.9
2458803.173,3.9
2458803.5174,4.1
2458803.6,4.1
2458804.159,4.1
2458804.166,4.0
2458804.4167,4.2
2458804.516,4.1
2458804.5167,4.0
2458804.5313,4.3
2458805.18,4.1
2458806.173,4.1
2458806.18,4.1
2458806.18,4.1
2458806.194,4.0
2458806.31667,4.0
2458806.33264,3.9
2458806.42292,3.9
2458809.368,4.1
2458809.441,4.0
2458810.368,4.3
2458810.5222,4.2
2458810.69375,4.4
2458811.6625,4.2
2458811.7,3.4
2458812.5417,3.6
2458812.625,3.6
2458813.5181,3.9
2458813.78819,4.3
2458815.25,4.2
2458816.5215,4.3
2458817.30556,3.6
2458817.4167,3.4
2458817.5472,4.0
2458818.225,3.55
2458818.274,3.7
2458818.5188,4.0
2458819.194,4.1
2458819.35417,3.8
2458819.64722,3.6
2458820.25,4.0
2458821.25,4.4
2458821.5438,4.0
2458821.62639,4.3
2458821.63264,4.1
2458821.99583,4.0
2458822.333,3.8
2458822.48264,3.4
2458822.53819,4.0
2458822.6,3.1
2458822.76736,3.9
2458823.225,3.5
2458823.5139,3.9
2458824.131,3.9
2458824.138,3.9
2458824.187,3.9
2458824.6,3.7
2458824.645,3.8
2458824.65625,4.0
2458825.4965,4.0
2458825.95556,3.9
2458826.325,3.9
2458826.52917,4.4
2458829.4799,4.0
2458829.49653,3.9
2458830.25,3.8
2458833.2292,4.0
2458833.98889,3.7
2458834.7,4.3
2458835.56042,4.0
2458836.94097,3.9
2458837.125,4.3
2458837.5438,4.3
2458838.138,4.4
2458838.159,4.3
2458838.18,4.3
2458838.187,4.4
2458838.194,4.3
2458838.2104,4.3
2458838.488,3.9
2458839.01528,3.6
2458839.59583,3.6
2458840.32014,3.9
2458840.5556,4.2
2458840.9,3.5
2458841.50625,3.9
2458841.6306,4.1
2458842.01181,3.9
2458842.5521,4.3
2458843.6049,4.1
2458845.4167,3.6
2458846.00903,3.9
2458846.95833,4.0
2458848.02708,4.1
2458848.2083,4.2
2458848.226,4.3
2458848.25,4.2
2458848.5278,4.3
2458848.98958,3.9
2458849.63125,3.5
2458850.2125,3.5
2458850.4889,4.0
2458850.5306,4.0
2458852.0375,3.9
2458853.333,4.2
2458854.28611,3.7
2458854.5188,4.3
2458854.57639,4.3
2458854.97708,3.6
2458855.30208,3.6
2458855.4813,3.3
2458856.62014,4.1
2458856.62986,3.8
2458857.7,3.7
2458857.98542,3.9
2458858.98264,4.1
2458861.26389,4.3
2458861.31667,3.7
2458862.54514,3.6
2458862.6375,4.0
2458863.6014,4.1
2458864.625,4.4
2458865.166,4.2
2458865.187,4.1
2458865.194,4.2
2458865.208,4.1
2458865.208,4.2
2458865.25,4.2
2458865.5174,4.0
2458866.29167,3.8
2458868.25,3.8
2458868.34444,3.6
2458868.97917,3.8
2458869.27153,4.1
2458869.34792,4.2
2458869.60486,4.3
2458869.97917,3.9
2458870.5,4.2
2458870.5042,4.3
2458870.96875,3.7
2458872.333,3.5
2458872.65833,3.7
2458875.50069,3.7
2458878.33264,4.0
2458878.333,3.8
2458880.56389,4.4
2458882.57222,3.9
2458882.6,3.4
2458882.95278,3.6
2458883.5,4.1
2458884.187,4.1
2458884.194,4.1
2458884.222,4.1
2458884.222,4.1
2458884.236,4.0
2458888.57778,3.8
2458890.55208,4.3
2458890.94653,4.0
2458891.57708,4.4
2458891.62153,4.3
2458891.94861,3.9
2458893.53333,3.7
2458893.60556,3.9
2458894.5875,3.8
2458894.64306,3.2
2458895.201,4.0
2458895.208,4.0
2458895.54514,4.0
2458898.57569,3.9
2458898.99028,3.6
2458899.95278,3.8
2458900.60556,3.8
2458900.94444,3.9
2458901.32639,3.6
2458901.94653,4.2
2458902.59444,4.3
2458902.95417,3.6
2458905.236,4.0
2458905.2708,3.8
2458906.60139,4.4
2458907.58958,4.5
2458908.56875,4.0
2458908.94097,3.5
2458909.263,3.7
2458909.4167,3.53
2458909.583,3.7
2458909.60417,3.6
2458910.215,3.9
2458912.333,4.2
2458912.57569,4.1
2458912.96181,3.6
2458913.53403,4.0
2458915.58264,3.7
2458915.93403,3.8
2458916.2778,4.0
2458921.215,4.1
2458921.91181,3.9
2458922.333,4.0
2458923.222,4.4
2458923.4167,4.3
2458925.208,3.9
2458926.222,3.8
2458926.378,3.8
2458929.333,4.3
2458930.4167,3.8
2458931.378,3.6
2458932.37153,3.7
2458932.378,4.0
2458934.51458,3.6
2458935.333,3.7
2458936.4167,3.5
2458938.333,4.0
2458938.9,4.8
2458939.333,3.8
